ORACLE,SNOWFLAKE
varchar2,VARCHAR
nvarchar2,VARCHAR
char,CHAR
nchar,CHAR
clob,VARCHAR
nclob,VARCHAR
number,"NUMBER(38,18)"
float,FLOAT
binary_float,FLOAT
binary_double,FLOAT
date,DATE
timestamp,TIMESTAMP_NTZ
timestamp(6),TIMESTAMP_NTZ
timestamp with time zone,TIMESTAMP_TZ
timestamp with local time zone,TIMESTAMP_TZ
interval day to second,VARCHAR
interval year to month,VARCHAR
raw,BINARY
long raw,BINARY
blob,BINARY
xmltype,VARIANT
json,VARIANT
long,VARCHAR
